Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes)
301_13_taf_0480_prep_removebgcharacter_v010.nk,66df52127e6b4b9c2f4c4147,mustak.ahamad,,,pnewspt099.basilic.com,2024/09/10 1:22:50,2024/09/10 1:22:51,2024/09/10 1:23:57,2d_pool,2d_group,50,1025-1051,27,3,Nuke,1,5661758,0,0,3,00:00:01:06,00:00:02:44,00:00:00:54,00:00:00:50,00:00:00:09,00:00:00:03,00:00:00:03,00:00:02:35,00:00:00:51,00:00:00:47,00:00:02:35,00:00:00:51,00:00:00:47,00:00:00:06,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:07,00:00:00:01,00:00:00:07,00:00:00:07,00:00:00:00,00:00:00:00,0,0,0,2173927424,824803072,771844352,51 %,2 %,2 %,990138,46903824,0,0,0
301_13_taf_0490_roto_rotochar_v008_NewSession_Output,66df3f247e6b4b9c2f4c405a,pramod.yadav,,,pnewsrt027.basilic.com,2024/09/10 0:02:04,2024/09/10 0:05:07,2024/09/10 0:06:02,2d_pool,2d_group,100,1017-1086,70,7,Silhouette,1,2388369,0,0,6,00:00:00:55,00:00:05:28,00:00:00:46,00:00:00:45,00:00:00:48,00:00:00:06,00:00:00:06,00:00:04:40,00:00:00:40,00:00:00:38,00:00:04:40,00:00:00:40,00:00:00:38,00:00:00:04,00:00:00:00,00:00:00:04,00:00:00:04,00:00:00:05,00:00:00:01,00:00:00:04,00:00:00:04,00:00:00:00,00:00:00:00,0,0,0,1726976000,394883789,399702016,85 %,3 %,4 %,2835357,78720048,0,0,0
306_43_sdh_0140_paint_v014.nk,66e063d57e6b4b9c2f4c4cce,sudarshan.kale,,,pnewspt081,2024/09/10 20:50:53,2024/09/10 20:50:54,2024/09/10 20:55:13,2d_pool,2d_group,1,1001-1177,177,177,Nuke,1,14048810,0,1,16,00:00:04:18,00:01:06:16,00:00:00:22,00:00:00:17,00:00:01:30,00:00:00:00,00:00:00:00,00:01:03:19,00:00:00:21,00:00:00:16,00:01:03:19,00:00:00:21,00:00:00:16,00:00:00:22,00:00:00:00,00:00:00:21,00:00:00:21,00:00:00:18,00:00:00:00,00:00:00:17,00:00:00:17,00:00:01:02,00:00:00:00,8984788887,50761519,50802434,11206774784,535892474,439942752,95 %,1 %,1 %,14928589,892807284,0,0,0
306_43_sdh_0140_precomp_v004.nk,66e036d37e6b4b9c2f4c4b1a,narayan.patil,,,pnewspt089,2024/09/10 17:38:51,2024/09/10 17:38:52,2024/09/10 17:42:37,2d_pool,2d_group,100,1017-1161,145,145,Nuke,1,1460928,0,0,11,00:00:03:45,00:00:39:51,00:00:00:16,00:00:00:14,00:00:01:54,00:00:00:00,00:00:00:00,00:00:36:46,00:00:00:15,00:00:00:13,00:00:36:46,00:00:00:15,00:00:00:13,00:00:00:16,00:00:00:00,00:00:00:15,00:00:00:15,00:00:00:15,00:00:00:00,00:00:00:14,00:00:00:14,00:00:00:00,00:00:00:00,12553912486,86578706,87217848,6462242816,1117190719,1040303744,94 %,8 %,10 %,38322666,488218715,0,0,0
306_43_sdh_0140_precomp_v007.nk,66e0839c7e6b4b9c2f4c4e3a,narayan.patil,,,pnewspt089,2024/09/10 23:06:28,2024/09/10 23:06:28,2024/09/10 23:09:02,2d_pool,2d_group,100,1017-1161,145,145,Nuke,1,1496409,0,0,16,00:00:02:34,00:00:41:01,00:00:00:16,00:00:00:14,00:00:01:03,00:00:00:00,00:00:00:00,00:00:38:49,00:00:00:16,00:00:00:13,00:00:38:49,00:00:00:16,00:00:00:13,00:00:00:16,00:00:00:00,00:00:00:16,00:00:00:16,00:00:00:15,00:00:00:00,00:00:00:14,00:00:00:14,00:00:00:00,00:00:00:00,12541598679,86493783,87177679,6030204928,1106846774,1075266944,95 %,6 %,6 %,29345322,502809364,0,0,0
306_43_sdh_0140_prep_lightremoval_v007.nk,66e065bb7e6b4b9c2f4c4cee,sandeep.tapkir,,,pnewspt084.basilic.com,2024/09/10 20:58:59,2024/09/10 20:59:00,2024/09/10 20:59:32,2d_pool,2d_group,50,1143-1161,19,2,Nuke,1,2065324,0,0,2,00:00:00:32,00:00:01:02,00:00:00:31,00:00:00:32,00:00:00:05,00:00:00:02,00:00:00:02,00:00:00:57,00:00:00:28,00:00:00:29,00:00:00:57,00:00:00:28,00:00:00:29,00:00:00:03,00:00:00:00,00:00:00:03,00:00:00:03,00:00:00:04,00:00:00:01,00:00:00:03,00:00:00:03,00:00:00:00,00:00:00:00,0,0,0,4022882304,799880160,964137600,60 %,3 %,5 %,514500,15998717,0,0,0
306_43_sdh_0140_prep_lightremoval_v007.nk,66e077627e6b4b9c2f4c4d89,sandeep.tapkir,,,pnewspt084.basilic.com,2024/09/10 22:14:18,2024/09/10 22:14:18,2024/09/10 22:15:17,2d_pool,2d_group,50,1017-1161,145,15,Nuke,1,2065079,0,0,14,00:00:00:59,00:00:13:19,00:00:00:53,00:00:00:51,00:00:00:50,00:00:00:03,00:00:00:02,00:00:12:28,00:00:00:49,00:00:00:48,00:00:12:28,00:00:00:49,00:00:00:48,00:00:00:05,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:06,00:00:00:01,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,0,0,0,5173792768,694364902,699649792,65 %,1 %,1 %,3767577,212479437,0,0,0
306_43_sdh_0140_prep_Rigremovel_v015.nk,66e066a07e6b4b9c2f4c4cf9,narayan.patil,,,pnewspt089,2024/09/10 21:02:48,2024/09/10 21:02:49,2024/09/10 21:04:34,2d_pool,2d_group,100,1017-1161,145,145,Nuke,1,1218422,0,1,11,00:00:01:45,00:00:17:40,00:00:00:07,00:00:00:06,00:00:01:11,00:00:00:00,00:00:00:00,00:00:15:20,00:00:00:06,00:00:00:05,00:00:15:20,00:00:00:06,00:00:00:05,00:00:00:07,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:07,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:11,00:00:00:00,3598589581,24817859,24887954,1959968768,642955379,670955008,97 %,10 %,10 %,15303629,162608112,0,0,0
com_0290_prep_groundclenup_v013.nk,66e08adb7e6b4b9c2f4c4ea2,sagar.misal,,,pnewspt106.basilic.com,2024/09/10 23:37:23,2024/09/10 23:37:23,2024/09/10 23:37:54,2d_pool,2d_group,50,1001-1095,95,10,Nuke,1,18136691,0,0,9,00:00:00:30,00:00:04:25,00:00:00:26,00:00:00:26,00:00:00:31,00:00:00:03,00:00:00:03,00:00:03:53,00:00:00:23,00:00:00:23,00:00:03:53,00:00:00:23,00:00:00:23,00:00:00:02,00:00:00:00,00:00:00:02,00:00:00:02,00:00:00:03,00:00:00:01,00:00:00:03,00:00:00:03,00:00:00:00,00:00:00:00,0,0,0,5056704512,902780838,855842432,56 %,2 %,2 %,1291234,56265268,0,0,0
KT1950_prep_crew_v004.nk,66dfd6077e6b4b9c2f4c456a,rameshnaidu.appikonda,,,pnewspt084.basilic.com,2024/09/10 10:45:51,2024/09/10 10:45:52,2024/09/10 10:47:10,2d_pool,2d_group,50,1001-1226,226,23,Nuke,1,33052540,0,0,15,00:00:01:17,00:00:18:38,00:00:00:48,00:00:00:55,00:00:01:14,00:00:00:03,00:00:00:03,00:00:17:22,00:00:00:45,00:00:00:51,00:00:17:22,00:00:00:45,00:00:00:51,00:00:00:04,00:00:00:00,00:00:00:04,00:00:00:04,00:00:00:06,00:00:00:01,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,0,0,0,2608128000,1063119268,773175424,100 %,4 %,4 %,10423914,291519802,0,0,0
KT1950_prep_crew_v004.nk,66e01dee7e6b4b9c2f4c48e7,rameshnaidu.appikonda,,,pnewspt084.basilic.com,2024/09/10 15:52:38,2024/09/10 15:52:39,2024/09/10 15:54:46,2d_pool,2d_group,50,1001-1226,226,23,Nuke,1,33891848,0,0,14,00:00:02:07,00:00:28:46,00:00:01:15,00:00:01:22,00:00:01:05,00:00:00:02,00:00:00:03,00:00:27:38,00:00:01:12,00:00:01:19,00:00:27:38,00:00:01:12,00:00:01:19,00:00:00:07,00:00:00:00,00:00:00:07,00:00:00:07,00:00:00:09,00:00:00:01,00:00:00:08,00:00:00:08,00:00:00:00,00:00:00:00,0,0,0,2962366464,1882977808,1638656000,97 %,3 %,3 %,16945476,485428613,0,0,0
KT1950_prep_crew_v004.nk,66e01edd7e6b4b9c2f4c4900,rameshnaidu.appikonda,,,pnewspt084.basilic.com,2024/09/10 15:56:37,2024/09/10 15:56:38,2024/09/10 15:58:12,2d_pool,2d_group,50,1001-1226,226,23,Nuke,1,33892194,0,0,13,00:00:01:33,00:00:19:51,00:00:00:51,00:00:00:57,00:00:01:09,00:00:00:03,00:00:00:03,00:00:18:40,00:00:00:48,00:00:00:54,00:00:18:40,00:00:00:48,00:00:00:54,00:00:00:05,00:00:00:00,00:00:00:04,00:00:00:04,00:00:00:06,00:00:00:01,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,0,0,0,3035844608,1560706635,1326733440,48 %,4 %,4 %,13147808,314953829,0,0,0
KT1950_prep_crew_v004.nk,66e0203c7e6b4b9c2f4c4921,rameshnaidu.appikonda,,,pnewspt084.basilic.com,2024/09/10 16:02:27,2024/09/10 16:02:29,2024/09/10 16:04:00,2d_pool,2d_group,50,1001-1226,226,23,Nuke,1,38429757,0,0,13,00:00:01:30,00:00:19:31,00:00:00:50,00:00:00:55,00:00:01:13,00:00:00:03,00:00:00:03,00:00:18:15,00:00:00:47,00:00:00:51,00:00:18:15,00:00:00:47,00:00:00:51,00:00:00:05,00:00:00:00,00:00:00:04,00:00:00:04,00:00:00:06,00:00:00:01,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,0,0,0,3065651200,1593482134,1349369088,41 %,3 %,3 %,11351301,310833530,0,0,0
KT1950_prep_sclight_v018.nk,66dfa3c57e6b4b9c2f4c43bc,naveen.gupta,,,pnewspt101,2024/09/10 7:11:25,2024/09/10 7:11:25,2024/09/10 7:14:38,2d_pool,2d_group,50,1001-1226,226,23,Nuke,0,0,0,0,15,00:00:03:12,00:00:45:55,00:00:01:59,00:00:02:07,00:00:01:04,00:00:00:02,00:00:00:02,00:00:44:49,00:00:01:56,00:00:02:04,00:00:44:49,00:00:01:56,00:00:02:04,00:00:00:12,00:00:00:00,00:00:00:11,00:00:00:11,00:00:00:13,00:00:00:01,00:00:00:13,00:00:00:13,00:00:00:00,00:00:00:00,29787593957,1295112780,1318007643,15093694464,5521243102,5575783936,100 %,37 %,41 %,321865481,802189750,0,0,0
KT1950_prep_sclight_v020.nk,66dff5b97e6b4b9c2f4c467f,naveen.gupta,,,pnewspt101,2024/09/10 13:01:05,2024/09/10 13:01:06,2024/09/10 13:06:02,2d_pool,2d_group,50,1001-1226,226,23,Nuke,0,0,0,0,13,00:00:04:55,00:01:00:53,00:00:02:38,00:00:02:42,00:00:00:55,00:00:00:02,00:00:00:02,00:00:59:54,00:00:02:36,00:00:02:39,00:00:59:54,00:00:02:36,00:00:02:39,00:00:00:16,00:00:00:00,00:00:00:15,00:00:00:15,00:00:00:17,00:00:00:01,00:00:00:16,00:00:00:16,00:00:00:00,00:00:00:00,29793063421,1295350583,1318007555,17411919872,5573880976,5601572352,20075 %,57 %,46 %,685885742,1081245464,0,0,0
KT1950_prep_sclight_v020.nk,66e00f767e6b4b9c2f4c47de,naveen.gupta,,,pnewspt101,2024/09/10 14:50:54,2024/09/10 14:50:55,2024/09/10 14:54:07,2d_pool,2d_group,50,1164-1226,63,7,Nuke,0,0,0,1,5,00:00:03:11,00:00:14:52,00:00:02:07,00:00:02:09,00:00:00:29,00:00:00:04,00:00:00:02,00:00:14:23,00:00:02:03,00:00:02:06,00:00:14:23,00:00:02:03,00:00:02:06,00:00:00:14,00:00:00:00,00:00:00:13,00:00:00:13,00:00:00:15,00:00:00:01,00:00:00:15,00:00:00:15,00:00:01:32,00:00:00:00,8570954824,1224422117,1357950148,17048526848,5294558025,5578125824,100 %,20 %,23 %,55271254,265053570,0,0,0
KT1950_prep_setlightsbehindthetree_v024.nk,66dfcf247e6b4b9c2f4c4525,yogesh.kate,,,pnewspt091.basilic.com,2024/09/10 10:16:28,2024/09/10 10:16:29,2024/09/10 10:21:26,2d_pool,2d_group,50,1001-1226,226,23,Nuke,1,3452249,0,0,8,00:00:04:57,00:00:37:03,00:00:01:36,00:00:01:27,00:00:00:55,00:00:00:02,00:00:00:02,00:00:36:05,00:00:01:34,00:00:01:24,00:00:36:05,00:00:01:34,00:00:01:24,00:00:00:09,00:00:00:00,00:00:00:09,00:00:00:09,00:00:00:09,00:00:00:01,00:00:00:09,00:00:00:09,00:00:00:00,00:00:00:00,0,0,0,42741374976,4186223877,2601003776,99 %,7 %,6 %,42906736,632663822,0,0,0
KT1950_prep_setlightsbehindthetree_v026.nk,66dfeeef7e6b4b9c2f4c463a,yogesh.kate,,,pnewspt091.basilic.com,2024/09/10 12:32:07,2024/09/10 12:32:08,2024/09/10 12:37:12,2d_pool,2d_group,50,1001-1226,226,23,Nuke,1,4794277,0,0,8,00:00:05:04,00:00:36:26,00:00:01:35,00:00:01:36,00:00:01:03,00:00:00:02,00:00:00:02,00:00:35:20,00:00:01:32,00:00:01:33,00:00:35:20,00:00:01:32,00:00:01:33,00:00:00:09,00:00:00:00,00:00:00:09,00:00:00:09,00:00:00:10,00:00:00:01,00:00:00:10,00:00:00:10,00:00:00:00,00:00:00:00,0,0,0,43843661824,4945185691,2922782976,96 %,10 %,9 %,49654151,618251487,0,0,0
KT1950_prep_setlightsbehindthetree_v032.nk,66e01a837e6b4b9c2f4c48a6,yogesh.kate,,,pnewspt091.basilic.com,2024/09/10 15:38:03,2024/09/10 15:38:03,2024/09/10 15:41:46,2d_pool,2d_group,50,1001-1226,226,23,Nuke,1,4125500,0,0,7,00:00:03:43,00:00:24:27,00:00:01:03,00:00:01:03,00:00:01:45,00:00:00:04,00:00:00:03,00:00:22:39,00:00:00:59,00:00:00:58,00:00:22:39,00:00:00:59,00:00:00:58,00:00:00:06,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:07,00:00:00:01,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,0,0,0,42867273728,5029528075,2933717248,99 %,12 %,11 %,43453536,394352820,0,0,0
